----------------------------------------------------
 Time                  Az      El  Range Footp  Alt 
 2024/07/21 19:26:20 311.39  49.09  1041  6146   819
 2024/07/21 19:26:25 313.19  47.75  1059  6146   819
 2024/07/21 19:26:30 314.85  46.41  1078  6146   819
 2024/07/21 19:26:35 316.37  45.10  1098  6146   819
 2024/07/21 19:26:40 317.78  43.81  1118  6147   820
 2024/07/21 19:26:45 319.08  42.55  1139  6147   820
 2024/07/21 19:26:50 320.28  41.31  1161  6147   820
 2024/07/21 19:26:55 321.40  40.10  1184  6147   820
 2024/07/21 19:27:00 322.44  38.92  1207  6147   820
 2024/07/21 19:27:05 323.41  37.78  1231  6147   820
 2024/07/21 19:27:10 324.31  36.66  1255  6147   820
 2024/07/21 19:27:15 325.16  35.57  1279  6148   820
 2024/07/21 19:27:20 325.95  34.52  1305  6148   820
 2024/07/21 19:27:25 326.70  33.49  1330  6148   820
 2024/07/21 19:27:30 327.40  32.49  1356  6148   820
 2024/07/21 19:27:35 328.06  31.52  1383  6148   820
 2024/07/21 19:27:40 328.69  30.58  1410  6148   820
 2024/07/21 19:27:45 329.28  29.66  1437  6148   820
 2024/07/21 19:27:50 329.84  28.78  1464  6149   820
 2024/07/21 19:27:55 330.37  27.91  1492  6149   820
 2024/07/21 19:28:00 330.88  27.07  1520  6149   820
 2024/07/21 19:28:05 331.36  26.26  1549  6149   820
 2024/07/21 19:28:10 331.81  25.46  1577  6149   820
 2024/07/21 19:28:15 332.25  24.69  1606  6149   820
 2024/07/21 19:28:20 332.67  23.94  1635  6149   820
 2024/07/21 19:28:25 333.07  23.21  1665  6149   820
 2024/07/21 19:28:30 333.45  22.50  1694  6150   820
 2024/07/21 19:28:35 333.81  21.80  1724  6150   820
 2024/07/21 19:28:40 334.16  21.13  1754  6150   820
 2024/07/21 19:28:45 334.50  20.47  1784  6150   820
 2024/07/21 19:28:50 334.82  19.83  1814  6150   821
 2024/07/21 19:28:55 335.13  19.20  1845  6150   821
 2024/07/21 19:29:00 335.43  18.59  1876  6150   821
 2024/07/21 19:29:05 335.72  17.99  1906  6150   821
 2024/07/21 19:29:10 336.00  17.41  1937  6150   821
 2024/07/21 19:29:15 336.27  16.84  1968  6150   821
 2024/07/21 19:29:20 336.52  16.28  1999  6151   821
 2024/07/21 19:29:25 336.78  15.73  2031  6151   821
 2024/07/21 19:29:30 337.02  15.20  2062  6151   821
 2024/07/21 19:29:35 337.25  14.68  2093  6151   821
 2024/07/21 19:29:40 337.48  14.16  2125  6151   821
 2024/07/21 19:29:45 337.70  13.66  2157  6151   821
 2024/07/21 19:29:50 337.91  13.17  2188  6151   821
 2024/07/21 19:29:55 338.12  12.69  2220  6151   821
 2024/07/21 19:30:00 338.32  12.22  2252  6151   821
 2024/07/21 19:30:05 338.52  11.75  2284  6151   821
 2024/07/21 19:30:10 338.71  11.30  2316  6151   821
 2024/07/21 19:30:15 338.89  10.85  2348  6151   821
 2024/07/21 19:30:20 339.07  10.41  2380  6151   821
 2024/07/21 19:30:25 339.25   9.98  2412  6152   821
 2024/07/21 19:30:30 339.42   9.56  2445  6152   821
 2024/07/21 19:30:35 339.59   9.14  2477  6152   821
 2024/07/21 19:30:40 339.75   8.73  2509  6152   821
 2024/07/21 19:30:45 339.91   8.32  2542  6152   821
 2024/07/21 19:30:50 340.06   7.93  2574  6152   821
 2024/07/21 19:30:55 340.22   7.54  2607  6152   821
 2024/07/21 19:31:00 340.36   7.15  2639  6152   821
 2024/07/21 19:31:05 340.51   6.77  2672  6152   821
